Sensor_ID,Entity_ID,Sensor_Type_Threshold_,Sensor_Reading,Status,Lower_Non_Recoverable,Lower_Critical,Lower_Non_Critical,Upper_Non_Critical,Upper_Critical,Upper_Non_Recoverable,Positive_Hysteresis,Negative_Hysteresis,Assertion_Events,Assertions_Enabled,Deassertions_Enabled,Time_elapsed
Total Power,215.0,Unknown,224,ok,0.000,0.000,0.000,1785.000,1785.000,1785.000,Unspecified,Unspecified,,,0.54155
CPU1 Power,215.1,Unknown,10,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,1.12156
CPU2 Power,215.2,Unknown,21,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,1.66559
PCIE CPU1 Pwr,215.3,Unknown,25,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,2.23360
PCIE CPU2 Pwr,215.4,Unknown,25,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,2.74952
Total Power,215.0,Unknown,238,ok,0.000,0.000,0.000,1785.000,1785.000,1785.000,Unspecified,Unspecified,,,3.26572
CPU1 Power,215.1,Unknown,19,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,3.90171
CPU2 Power,215.2,Unknown,21,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,4.40948
PCIE CPU1 Pwr,215.3,Unknown,25,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,4.92960
PCIE CPU2 Pwr,215.4,Unknown,25,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,5.42549
Total Power,215.0,Unknown,231,ok,0.000,0.000,0.000,1785.000,1785.000,1785.000,Unspecified,Unspecified,,,5.82955
CPU1 Power,215.1,Unknown,11,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,6.20954
CPU2 Power,215.2,Unknown,21,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,6.78959
PCIE CPU1 Pwr,215.3,Unknown,25,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,7.28717
PCIE CPU2 Pwr,215.4,Unknown,25,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,7.76559
Total Power,215.0,Unknown,231,ok,0.000,0.000,0.000,1785.000,1785.000,1785.000,Unspecified,Unspecified,,,8.25020
CPU1 Power,215.1,Unknown,11,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,8.67822
CPU2 Power,215.2,Unknown,21,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,9.14572
PCIE CPU1 Pwr,215.3,Unknown,25,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,9.64157
PCIE CPU2 Pwr,215.4,Unknown,25,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,10.13024
Total Power,215.0,Unknown,231,ok,0.000,0.000,0.000,1785.000,1785.000,1785.000,Unspecified,Unspecified,,,10.61759
CPU1 Power,215.1,Unknown,11,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,11.17471
CPU2 Power,215.2,Unknown,21,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,11.72967
PCIE CPU1 Pwr,215.3,Unknown,24,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,12.22961
PCIE CPU2 Pwr,215.4,Unknown,25,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,12.72155
Total Power,215.0,Unknown,231,ok,0.000,0.000,0.000,1785.000,1785.000,1785.000,Unspecified,Unspecified,,,13.20538
CPU1 Power,215.1,Unknown,10,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,13.66956
